ਅਫ਼ਰੀਕਾ	非洲
ਸੀ (ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ)	C语言
ਬਾਈਆਨ ਮੁਨਸ਼ਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	拜仁慕尼黑足球俱乐部
ਪੈਰ	脚
ਏਮੀਲ ਦੁਰਖਿਮ	爱米尔·涂尔干
ਮੋਨਤੈਸਕੀਉ	孟德斯鸠
ਬੇ (ਸਿਰਿਲਿਕ)	Б
ਆ (ਸਿਰਿਲਿਕ)	А
ਗੇ (ਸਿਰਿਲਿਕ)	Г
ਡੇ (ਸਿਰਿਲਿਕ)	Д
ਵੇ (ਸਿਰਿਲਿਕ)	В
ਉੱਪਰ ਨੂੰ ਮੁੜਿਆ ਗੇ (ਸਿਰਿਲਿਕ)	Ґ
ਮਿਦੀ-ਪੀਰੇਨੇ	南部-比利牛斯
ਫ਼ਰਾਂਸ਼-ਕੋਂਤੇ	弗朗什-孔泰
ਬਰੂਸ-ਲੀ	李小龙
ਫਰਮਾ:Link FA	Template:Link FA
ਬੂਸਾਨ	釜山廣域市
ਵਰਮਾਂਟ	佛蒙特州
ਸਾਨ ਦੀਏਗੋ	聖地牙哥 (加利福尼亞州)
ਸਾਨ ਹੋਜ਼ੇ, ਕੈਲੀਫ਼ੋਰਨੀਆ	聖荷西 (加利福尼亞州)
ਡੈਨਵਰ	丹佛
ਹੂਸਟਨ	休斯敦
ਫ਼ੀਨਿਕਸ	鳳凰城 (亞利桑那州)
ਡਾਲਸ	達拉斯
ਫ਼ੋਰਟ ਵਰਥ	沃思堡
ਆਸਟਿਨ, ਟੈਕਸਸ	奧斯汀
ਸ਼ਾਰਲਟ, ਉੱਤਰੀ ਕੈਰੋਲੀਨਾ	夏洛特 (北卡羅來納州)
ਕਲੰਬਸ, ਓਹਾਇਓ	哥伦布 (俄亥俄州)
ਜੈਕਸਨਵਿਲ, ਫ਼ਲੌਰਿਡਾ	杰克逊维尔 (佛罗里达州)
ਗੁਆਂਗਜ਼ੂ	广州市
ਗੁਆਮ	關島
ਅਮਰੀਕੀ ਸਮੋਆ	美屬薩摩亞
ਉੱਤਰੀ ਮਰੀਆਨਾ ਟਾਪੂ	北马里亚纳群岛
ਨਾਨਜਿੰਗ	南京市
ਐਡਗਰ ਐਲਨ ਪੋ	爱伦·坡
ਕੁਸਤੁਨਤੁਨੀਆ	君士坦丁堡
ਹਸਪਤਾਲ	醫院
ਹੇਠਲੀ ਨੋਰਮਾਂਦੀ	下诺曼底
ਉਰੂਮਕੀ	乌鲁木齐市
ਉਤਲੀ ਨੋਰਮਾਂਦੀ	上諾曼地
ਗਿਰਜਾ	教堂
ਉੱਤਰ-ਕਾਲੇ ਦਾ ਪਣਜੋੜ	北部-加来海峡
ਪੇ ਡ ਲਾ ਲੁਆਰ	卢瓦尔河地区
ਲਾਂਗਡੋਕ-ਰੂਸੀਓਨ	朗格多克-鲁西永
ਪੋਆਤੂ-ਸ਼ਾਰੌਂਤ	普瓦图-夏朗德
ਗੁਆਡਲੂਪ	瓜德罗普
ਮਾਰਟੀਨੀਕ	馬提尼克
ਮੈਯੋਤ	马约特
ਰੇਊਨੀਓਂ	留尼汪
ਬੈਕਸਟਰੀਟ ਬੌਇਜ਼	後街男孩
ਬਾਰਸੀਲੋਨਾ ਵੱਡਾ ਗਿਰਜਾਘਰ	巴塞罗那主教座堂
ਰੋਮਨ ਗਣਤੰਤਰ	罗马共和国
ਜਿਓਵਾਨੀ ਬੇਲੀਨੀ	乔瓦尼·贝利尼
ਫ਼ਿਲਪੀਨੀ ਪੀਸੋ	菲律賓披索
ਤਿੱਬਤ	藏区
ਮਾਫੀਆ (ਪਾਰਟੀ ਖੇਡ)	杀手 (游戏)
ਚੱਕਰ	圆
14ਵੇਂ ਦਲਾਈ ਲਾਮਾ	第十四世达赖喇嘛
ਚੀਨ ਦੀ ਕਮਿਊਨਿਸਟ ਪਾਰਟੀ	中国共产党
ਮੋਬਾਈਲ ਫ਼ੋਨ	移动电话
ਸਟੀਵਨ ਹਾਕਿੰਗ	史蒂芬·霍金
ਸਿਧਾਂਤ	理論
ਅਰਾਗਤਸੋਤਨ	阿拉加措特恩省
ਸੈਕਰਾਮੈਂਟੋ, ਕੈਲੀਫ਼ੋਰਨੀਆ	沙加緬度
੧੯੨੫	1925年
੧੯੨੭	1927年
ਮਾਨਚੈਸਟਰ	曼彻斯特
ਤੁਰਕ ਅਤੇ ਕੇਕੋਸ ਟਾਪੂ	特克斯和凯科斯群岛
ਵਿਟਾਮਿਨ ਏ	維生素A
ਫੈਲਾਉ	辐射
ਮਿਆਰੀ ਨਮੂਨਾ	标准模型
ਸਿਧਾਂਤਕ ਭੌਤਿਕ ਵਿਗਿਆਨ	理论物理学
ਨਿਊ ਇੰਗਲੈਂਡ	新英格蘭
ਬਰਥਾ ਵੌਨ ਸੁੱਟਨਰ	贝尔塔·冯·苏特纳
ਸ਼ੈਫ਼ੀਲਡ ਫੁੱਟਬਾਲ ਕਲੱਬ	谢菲尔德足球俱乐部
ਬਘਿਆੜ	狼
ਰੂਪਕ-ਕਥਾ	託寓
ਖਿੱਦੋ	球 (體育)
ਡਗਲਸ, ਮੈਨ ਟਾਪੂ	道格拉斯 (马恩岛)
1955	1955年
1954	1954年
੧੯੫੩	1953年
੧੯੫੧	1951年
੧੯੫੦	1950年
੧੯੪੬	1946年
1943	1943年
1942	1942年
1940	1940年
1939	1939年
1938	1938年
1937	1937年
੧੯੩੬	1936年
ਮੈਨਚੈਸਟਰ ਯੂਨਾਈਟਡ ਫੁੱਟਬਾਲ ਕਲੱਬ	曼徹斯特聯足球俱樂部
੧੯੩੫	1935年
ਸਵਾਨਜ਼ੀ ਸਿਟੀ ਐਸੋਸੀਏਸ਼ਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	斯旺西城足球俱乐部
ਮਿਡਲਸਬਰੋ ਫੁੱਟਬਾਲ ਕਲੱਬ	米德尔斯堡足球俱乐部
ਕਾਰਡਿਫ਼ ਸਿਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	卡迪夫城足球俱乐部
ਫ਼ੁਲਹਮ ਫੁੱਟਬਾਲ ਕਲੱਬ	富勒姆足球俱乐部
ਐਸਟਨ ਵਿਲਾ ਫੁੱਟਬਾਲ ਕਲੱਬ	阿士東維拉足球會
1934	1934年
ਨਿਊਕੈਸਲ ਯੂਨਾਈਟਡ ਫੁੱਟਬਾਲ ਕਲੱਬ	纽卡斯尔联足球俱乐部
ਨਾਰਵਿਚ ਸਿਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	诺维奇城足球俱乐部
ਕਵੀਨਜ਼ ਪਾਰਕ ਰੇਂਜਰਜ਼ ਫੁੱਟਬਾਲ ਕਲੱਬ	女王公园巡游者足球俱乐部
੧੯੩੩	1933年
ਰੀਡਿੰਗ ਫੁੱਟਬਾਲ ਕਲੱਬ	雷丁足球俱乐部
ਸਾਊਥਹੈਂਪਟਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	南安普顿足球俱乐部
ਸਟੋਕ ਸਿਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	斯托克城足球俱乐部
ਸੰਡਰਲੈਂਡ ਐਸੋਸੀਏਸ਼ਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	桑德兰足球俱乐部
ਟੌਟਨਹਮ ਹੌਟਸਪਰ ਫੁੱਟਬਾਲ ਕਲੱਬ	托特纳姆热刺足球俱乐部
1932	1932年
ਵੈਸਟ ਬਰੌਮਿਚ ਐਲਬੀਅਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	西布罗姆维奇足球俱乐部
ਵਿਗਨ ਅਥਲੈਟਿਕ ਫੁੱਟਬਾਲ ਕਲੱਬ	威根竞技足球俱乐部
1931	1931年
੧੯੩੦	1930年
1929	1929年
ਪਿਓਂਗਯਾਂਗ	平壤
ਅਨਾਤੋਲੀ ਲੂਨਾਚਾਰਸਕੀ	阿纳托利·卢那察尔斯基
ਜੀ ਪੀ ਐੱਸ	全球定位系统
ਕਾਕਸ	高加索
ਅਕਾਦਮੀ ਇਨਾਮ	奥斯卡金像奖
ਸੈਮੂਅਲ ਪੀ ਹੰਟਿੰਗਟਨ	塞繆爾·P·亨廷頓
ਅਕੇਂਦਰੀ ਜੀਵ	原核生物
ਸੁਕੇਂਦਰੀ ਜੀਵ	真核生物
ਬਿੱਛੂ	蠍子
ਜਾਰਜ ਬਰਨਾਰਡ ਸ਼ਾ	萧伯纳
ਨੈਸ਼ਨਲ ਪੀਪਲਜ਼ ਕਾਂਗਰਸ ਦੀ ਸਥਾਈ ਕਮੇਟੀ	全国人民代表大会常务委员会
ਫੀਫਾ ਵਿਸ਼ਵ ਕੱਪ	世界盃足球賽
ਬਰਮਿੰਘਮ ਸਿਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	伯明翰足球會
ਬਲੈਕਬਰਨ ਰੋਵਾਰਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	布莱克本流浪者足球俱乐部
ਬਲੈਕਪੂਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	黑池足球會
ਬੋਲਟਨ ਵਾਨਦੇਰੇਰਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	博尔顿足球俱乐部
ਬ੍ਰਾਇਟਨ ਅਤੇ ਹੋਵ ਐਲਬੀਅਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	布莱顿足球俱乐部
ਬਰਨਲੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	伯恩利足球俱乐部
ਚਾਰਲਟਨ ਅਥਲੈਟਿਕ ਫੁੱਟਬਾਲ ਕਲੱਬ	查尔顿竞技足球俱乐部
ਕ੍ਰਿਸਟਲ ਪੈਲਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	水晶宫足球俱乐部
ਡਰਬੀ ਕਾਊਂਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	德比郡足球俱乐部
ਹਡਰਜ਼ਫ਼ੀਲਡ ਟਾਊਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	哈德斯菲尔德足球俱乐部
ਹਲ਼ ਸਿਟੀ ਐਸੋਸੀਏਸ਼ਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	赫尔城足球俱乐部
ਲੈਸਟਰ ਸਿਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	莱切斯特城足球俱乐部
ਮਿੱਲਵਾਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	米尔沃尔足球俱乐部
ਨੌਟਿੰਘਮ ਫ਼ਾਰਸਟ ਫੁੱਟਬਾਲ ਕਲੱਬ	诺丁汉森林足球俱乐部
ਸ਼ੈਫ਼ੀਲਡ ਵੈੱਡਨਸਡੇ ਫੁੱਟਬਾਲ ਕਲੱਬ	谢周三足球俱乐部
ਵੁਲਵਰਹੈਂਪਟਨ ਵਾਨਦੇਰੇਰਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	伍尔弗汉普顿流浪足球俱乐部
ਲੀਲ ਓਲੰਪੀਕ	里尔足球俱乐部
ਸੰਤ-ਏਤੀਐੱਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	圣艾蒂安足球俱乐部
ਮਾਇਆ ਐਂਜਲੋ	马娅·安杰卢
ਐਸੋਸੀਏਸ਼ਨ ਫੁੱਟਬਾਲ ਕਲੱਬ ਬੋਰਨਮਥ	伯恩茅斯足球俱乐部
ਬਰੈਂਟਫ਼ੋਰਡ ਫੁੱਟਬਾਲ ਕਲੱਬ	布伦特福德足球俱乐部
ਗੋਰੀ	哥里
ਕੈੱਲਟਿਕ ਫੁੱਟਬਾਲ ਕਲੱਬ	凯尔特人足球俱乐部
ਧਾਤਨੁਮਾ	类金属
ਰੇਂਜਰਜ਼ ਫੁੱਟਬਾਲ ਕਲੱਬ	流浪者足球俱乐部
ਅਧਾਤ	非金属元素
ਐਫ. ਸੀ. ਤਵੇਨਤੇ	特温特足球俱乐部
ਨੋਬਲ ਗੈਸ	稀有气体
੫	5年
੪	4年
3	3年
੨	2年
ਬੁਖ਼ਾਰੈਸਟ	布加勒斯特
ਅਲ ਗੋਰ	阿尔·戈尔
ਲੂਵਰ ਅਜਾਇਬਘਰ	卢浮宫
ਥੇਮਜ਼ ਦਰਿਆ	泰晤士河
ਤਿਰਾਨਾ	地拉那
ਵੇਈ ਨਦੀ	威河
੧੯੨੮	1928年
ਜੀ-20	20國集團
ਪੁਰਾਣਾ ਨੇਮ	旧约圣经
ਕ੍ਰਿਸਮਸ	圣诞节
ਰੋਮਾਂਸ ਭਾਸ਼ਾਵਾਂ	罗曼语族
ਤਿਕੋਨ	三角形
ਲੀਪ ਸਾਲ	闰年
ਸਟੀਵ ਜੌਬਜ਼	史蒂夫·乔布斯
ਲੇਡੀ ਗਾਗਾ	Lady Gaga
ਹਿੰਦ-ਯੂਰਪੀ ਭਾਸ਼ਾ-ਪਰਵਾਰ	印欧语系
ਗੋਦੋ ਦੀ ਉਡੀਕ	等待戈多
ਮੁਆਮਰ ਗੱਦਾਫ਼ੀ	穆阿迈尔·卡扎菲
ਸ਼ੇਰ	虎
ਨੀਸਾਨ	日產汽車
ਸੈਮਸੰਗ	三星集团
ਇਨਚਨ	仁川廣域市
ਸਕੈਂਡੀਨੇਵੀਆ	斯堪的纳维亚
ਕਿਸ਼ਨਾਓ	基希讷乌
ਸਮਾਜ ਵਿਗਿਆਨ	社会学
ਅਰੂਬਾ	阿魯巴
ਕੌਮਾਂਤਰੀ ਧੁਨਾਤਮਕ ਵਰਨਮਾਲਾ	國際音標
ਓਡੀਸ਼ਾ	奥里萨邦
ਪੰਜਾਬ, ਭਾਰਤ	旁遮普邦
ਸਮਾਰਟਫ਼ੋਨ	智能手机
ਯਹੂਦੀ-ਵਿਰੋਧ	反犹太主义
ਕੱਚਾ ਤੇਲ	石油
ਭੂਗੋਲਕ ਗੁਣਕ ਪ੍ਰਬੰਧ	经纬度
ਬਹਾਈ ਧਰਮ	巴哈伊信仰
ਬੈਂਕ	銀行
ਬੋਲਣ ਦੀ ਆਜ਼ਾਦੀ	言論自由
ਮਰੂਆ	墨角蘭
ਪਾਰਕ	公园
ਗੁਫ਼ਾ ਦਾ ਰੂਪਕ	地穴寓言
ਦੋ ਬੀਘਾ ਜ਼ਮੀਨ	两亩地 (印度电影)
ਨੌਟਿੰਘਮਸ਼ਰ	諾丁漢郡
੧	1年
ਲੂ ਸ਼ੁਨ	鲁迅
ਬਰਿਸਟਲ	布里斯托尔
ਅਬਖ਼ਾਜ਼ੀਆ	阿布哈茲
ਸਾਲਟ ਲੇਕ ਸਿਟੀ	盐湖城
ਅੱਠ	8
ਬਰਫ਼	冰
ਝੀਲ	湖泊
ਲਸਣ	蒜
ਲਾਲ ਸਮੁੰਦਰ	红海
ਖੀਰਾ	黄瓜
ਦੱਖਣੀ ਓਸੈਤੀਆ	南奥塞梯
ਉਲਾਨ ਬਤੋਰ	乌兰巴托
ਅਰਨੈਸਟ ਹੈਮਿੰਗਵੇ	欧内斯特·海明威
ਐਡਿਨਬਰਾ	爱丁堡
ਅਸ਼ਗ਼ਾਬਾਤ	阿什哈巴德
ਟਾਪੂ	島嶼
ਚਿੱਟਾ	白色
੪੭੬	476年
ਮਾਰਸੇਈ	马赛
ਟਮਾਟਰ	番茄
ਬਾਲਕਨ	巴尔干半岛
ਸਲਾਵੀ ਭਾਸ਼ਾਵਾਂ	斯拉夫语族
ਭੂ-ਮੱਧ ਰੇਖਾ	赤道
ਸੇਲੇਨ	莎麗娜
ਨਾਸਾ	美国国家航空航天局
ਬੇਨੀਤੋ ਮੁਸੋਲੀਨੀ	贝尼托·墨索里尼
ਪਾਡਗੋਰਿਤਸਾ	波德戈里察
ਗੇਮ ਆਫ਼ ਥਰੋਨਜ਼	权力的游戏 (电视剧)
500	500年
੧੫੦	150年
ਸ਼ਬਦਕੋਸ਼	詞典
ਐੱਚ.ਬੀ.ਓ.	HBO
ਬਰਮੂਡਾ	百慕大
ਸਿਰ	头
ਵੈਲਿੰਗਟਨ	惠灵顿
ਉੱਤਰੀ ਸਾਈਪ੍ਰਸ	北賽普勒斯土耳其共和國
੧੨੦	120年
ਕੌਮੀ ਗੀਤ	国歌
ਰੋਵਨ ਐਟਕਿਨਸਨ	路雲·雅堅遜
ਲਾਸ ਵੇਗਸ	拉斯维加斯
ਫ਼ਲਸਤੀਨੀ ਇਲਾਕੇ	巴勒斯坦
ਵਲੈਟਾ	瓦莱塔
ਪਰਮਾਣੂ ਸੰਖਿਆ	原子序数
ਅਲਫ਼ਰੈਡ ਨੋਬਲ	阿尔弗雷德·诺贝尔
੨੦੦	200年
ਜਾਰਜ ਤੀਮੋਥੀ ਕਲੂਨੀ	佐治·古尼
127	127年
੧੦੪	104年
102	102年
100	100年
ਮੁਰਦਾ ਸਮੁੰਦਰ	死海
ਚੀਤਾ	猎豹
ਅਗਨੀਮਿਤਰ	阿耆尼密多罗
੧੨੬	126年
੧੦੧	101年
੧੦੫	105年
੧੦੮	108年
117	117年
੧੧੫	115年
ਕੋਲਾ	煤
153	153年
156	156年
ਵੈਨਕੂਵਰ	溫哥華
੩੦੧	301年
116	116年
੩੩੦	330年
੧੬੫	165年
੨੦੩	203年
222	222年
੧੬੦	160年
ਲਿਵਰਪੂਲ	利物浦
੪੭੭	477年
ਲਘੂ ਫ਼ਿਲਮ	短片
ਬਰੇਮਨ	不来梅
ਕਿਰਿਆ	动词
168	168年
੧੧੨	112年
ਵੂਡੀ ਐਲਨ	伍迪·艾伦
ਸੱਤਾ (ਸਮਾਜਿਕ ਅਤੇ ਰਾਜਨੀਤਕ)	權力
ਬੂਕਮਾਲ	書面挪威語
ਟਾਈਟੈਨਿਕ	泰坦尼克号
ਇਨਸੈਪਸ਼ਨ	全面啟動
166	166年
ਪਾਊਂਡ ਸਟਰਲਿੰਗ	英镑
ਐਂਗੁਈਲਾ	安圭拉
ਗਰਨਜ਼ੇ	根西
ਘੰਟਾ	小时
ਕੰਗਰੋੜਧਾਰੀ	脊椎动物
ਚੱਕੀ ਰੋਹਾ	戴胜
ਸੈਲਸੀਅਸ	摄氏温标
ਜੂਲ	焦耳
ਪ੍ਰਿਸ਼ਤੀਨਾ	普里什蒂纳
ਕੌਮਾਂਤਰੀ ਪੁਲਾੜ ਅੱਡਾ	国际空间站
ਆਈ ਐੱਸ ਓ 3166-1	ISO 3166-1
ਆਈਸੋਟੋਪ	同位素
ਕੁਰਾਸਾਓ	库拉索
ਤਤਾਰ ਭਾਸ਼ਾ	鞑靼语
ਭਾਰ	重量
ਭਾਸ਼ਾ ਪਰਵਾਰ	语言系属分类
ਵਾਸ਼ਿੰਗਟਨ	华盛顿
ਬਰਤਾਨਵੀ ਵਰਜਿਨ ਟਾਪੂ	英屬維爾京群島
ਫੁੱਲਦਾਰ ਬੂਟਾ	開花植物
ਆਰਕਟਿਕ	北极地区
ਅੰਤੌਨੀ ਗਾਊਦੀ	安东尼·高迪
ਸਵਿੱਸ ਫ਼ਰਾਂਕ	瑞士法郎
ਨਵਾਸ ਟਾਪੂ	納弗沙島
ਸਾਰਸ (ਪੰਛੀ)	鹤科
ਡਰਾਮਾ	戏剧
ਅਟਲਾਂਟਿਸ	亚特兰蒂斯
ਬੋਨੇਅਰ	博奈尔
ਡੈੱਨਮਾਰਕੀ ਕਰੋਨਾ	丹麥克朗
ਹੇਠਲੀ ਜਰਮਨ ਭਾਸ਼ਾ	低地德语
ਕੇਸਰ	番紅花
ਸਾਬਾ	薩巴 (荷蘭)
ਊਮਿਓ	于默奧
੪੦੦	400年
ਲਿਥੁਆਨੀਆਈ ਲਿਤਾਸ	立陶宛立特
300	300年
ਯਾਦਾਸ਼ਤ ਦਾ ਹਠ	記憶的堅持
ਦਰੱਖਤੀ ਚਿੜੀ	麻雀
ਹਰਮਨ ਹੈੱਸ	赫尔曼·黑塞
ਕੁਸ਼ਾਨ ਸਲਤਨਤ	貴霜帝國
ਨਿਲੰਬਨ	悬浊液
ਸਿੰਟ ਯੂਸਟੇਸ਼ਸ	圣尤斯特歇斯
ਸਿੰਟ ਮਾਰਟਨ	荷屬聖馬丁
ਕ੍ਰੋਏਸ਼ੀਆਈ ਕੂਨਾ	克羅埃西亞庫納
ਪੂਰਬੀ ਕੈਰੀਬੀਆਈ ਡਾਲਰ	東加勒比元
ਸਲਵੀਨ ਦਰਿਆ	薩爾溫江
ਬੁੱਢਾ ਅਤੇ ਸਮੁੰਦਰ	老人与海
ਪੁਲਾੜ ਟਟੋਲ	空间探测器
ਉਪਗ੍ਰਹਿ	人造衛星
ਫ਼ਲਸਤੀਨ ਮੁਕਤੀ ਸੰਗਠਨ	巴勒斯坦解放組織
ਸੋਏ	蒔蘿
ਭੰਗ ਪੌਦਾ	大麻
ਤਮਿਲ ਲਿਪੀ	泰米爾文
ਹੀਰੋਡਾਟਸ	希羅多德
ਉਥੈਲੋ	奧賽羅
ਸਾਨ ਆਂਦਰੇਸ, ਪ੍ਰੋਵੀਦੈਂਸੀਆ ਅਤੇ ਸਾਂਤਾ ਕਾਤਾਲੀਨਾ ਟਾਪੂ-ਸਮੂਹ	聖安德列斯-普羅維登西亞和聖卡塔利娜群島省
ਟੇਲਰ ਸਵਿਫ਼ਟ	泰勒·斯威夫特
ਲਕਸ਼ਦੀਪ	拉克沙群島
ਕੁੱਕ ਟਾਪੂ	库克群岛
ਜਪਾਨ ਸਮੁੰਦਰ	日本海
ਨਾੜੀਦਾਰ ਬੂਟਾ	维管植物
ਅਲਬਾਹਨ	巴哈 (沙特阿拉伯)
ਪੂਰਬੀ ਏਸ਼ੀਆ	东亚
ਉੱਤਰ-ਪੂਰਬੀ ਏਸ਼ੀਆ	东北亚
ਕੇਂਦਰੀ ਏਸ਼ੀਆ	中亚
ਪੱਛਮੀ ਏਸ਼ੀਆ	西亚
ਇਵਾਨ ਦੇਨੀਸੋਵਿਚ ਦੇ ਜੀਵਨ ਵਿੱਚ ਇੱਕ ਦਿਨ	伊凡·杰尼索维奇的一天
ਉੱਤਰੀ ਏਸ਼ੀਆ	北亚
ਐਂਗਲੋ-ਅਮਰੀਕਾ	盎格鲁美洲
ਉੱਤਰੀ ਅਫ਼ਰੀਕਾ	北部非洲
ਪੂਰਬੀ ਅਫ਼ਰੀਕਾ	东部非洲
ਕੇਂਦਰੀ ਅਫ਼ਰੀਕਾ	中部非洲
ਦੱਖਣੀ ਯੂਰਪ	南欧
ਪੂਰਬੀ ਯੂਰਪ	东欧
ਸਕਾਕਾ	塞卡凱
ਉੱਤਰੀ ਯੂਰਪ	北歐
ਪੱਛਮੀ ਯੂਰਪ	西欧
ਕੇਂਦਰੀ ਯੂਰਪ	中欧
ਐਫ਼ਰੋ-ਯੂਰੇਸ਼ੀਆ	歐亞非大陸
ਕੈਰੀਬੀਆਈ ਨੀਦਰਲੈਂਡ	荷蘭加勒比區
ਕੇਂਦਰੀ ਅਮਰੀਕਾ	中美洲
ਮਾਂਕਸ ਪਾਊਂਡ	曼島鎊
ਮਿਖਾਇਲ ਬਾਕੂਨਿਨ	米哈伊尔·亚历山德罗维奇·巴枯宁
ਸ਼ਾਕਾ ਜ਼ੁਲੂ	恰卡
ਕ੍ਰਿਸਟਾਡੈਲਫੀਅਨ	基督弟兄會
ਦੇਵ ਪ੍ਰਯਾਗ	德沃普拉耶格
ਗਾਇਕੀ	歌唱
ਪੀਚੋ ਬੱਕਰੀ	跳房子
ਦਾਲਚੀਨੀ	桂皮
ਅਬਦੁਸ ਸਲਾਮ	阿卜杜勒·萨拉姆
ਮਗ਼ਰਿਬ	馬格里布
ਅਮਹਾਰੀ ਭਾਸ਼ਾ	阿姆哈拉语
ਸਕ੍ਰੀਨਲੇਖਕ	編劇
ਡਿਗਰੀ (ਕੋਣ)	度 (角)
ਏਲ ਏਸਕੋਰਲ	埃斯科里亚尔修道院
ਮਾਇਆ ਸੱਭਿਅਤਾ	瑪雅文明
ਇੰਕਾ ਸਾਮਰਾਜ	印加帝國
ਡਰੇਕੋ (ਵਿਧਾਇਕ)	德拉古
ਧੰਦਾ	專業
ਕੱਪੜਾ	纺织品
ਫ਼ੀਲਡਜ਼ ਤਗਮਾ	菲尔兹奖
ਇਸਲਾਮੀ ਕਲੰਡਰ	伊斯兰历
ਕ੍ਰਿਸਟੋਫਰ ਮਾਰਲੋਵ	克里斯托弗·馬洛
ਸਮੂਹਿਕ ਅਵਚੇਤਨ	集体潜意识
ਮਾਰਟੀ ਆਹਤੀਸਾਰੀ	马尔蒂·阿赫蒂萨里
ਆਸਾਮੀ ਭਾਸ਼ਾ	阿萨姆语
ਪਿਤਾ ਅਤੇ ਪੁੱਤਰ (ਨਾਵਲ)	父與子 (小說)
ਨਰਗਸ (ਬੂਟਾ)	水仙属
ਕਾਅਬਾ	克爾白
ਕੁਦਰਤੀ ਕਾਨੂੰਨ	自然法
ਸੰਘਣਾਪਣ	密度
ਅਵਾਰ ਭਾਸ਼ਾ	阿瓦尔语
ਸ਼ੈਵਰੋਲੇ	雪佛兰
ਅਵੇਸਤਨ ਭਾਸ਼ਾ	阿維斯陀語
ਵੈੱਬਕੈਮ	摄像头
ਅਵਧੀ	阿瓦德语
ਵਾਈ-ਫ਼ਾਈ	Wi-Fi
ਮੱਧ ਅਮਰੀਕਾ (ਖੇਤਰ)	中美 (政治地理学)
ਮਿਸਰੀ ਅਰਬੀ	埃及阿拉伯語
੨੦੫	205年
੧੫੯	159年
੧੦੭	107年
੧੬੨	162年
੧੦੩	103年
੧੧੯	119年
ਚੇਂਗਦੂ	成都市
੧੧੮	118年
ਏਬੀ ਭਾਸ਼ਾ	埃维语
੧੫੨	152年
240	240年
੨੧੮	218年
496	496年
238	238年
੧੯੭	197年
੪੫੧	451年
ਸਰ੍ਹੋਂ	芥菜类蔬菜
489	489年
੪੦੮	408年
464	464年
੪੧੦	410年
ਸਧਾਰਨ ਕਾਨੂੰਨ	英美法系
੪੫੩	453年
੧੬੧	161年
169	169年
੪੮੧	481年
੧੫੧	151年
੧੫੫	155年
੧੨੮	128年
੧੨੯	129年
੪੬੩	463年
੧੯੩	193年
251	251年
੩੩੭	337年
260	260年
491	491年
੨੨੧	221年
230	230年
੪੮੦	480年
੨੦੯	209年
੨੦੨	202年
੧੯੨	192年
ਚੰਙਚੋ	郑州市
੧੭੩	173年
੧੬੩	163年
੧੫੪	154年
੨੦੧	201年
੪੫੬	456年
190	190年
੧੦੯	109年
270	270年
452	452年
465	465年
੪੦੪	404年
ਰਾਸ਼ਟਰਪਤੀ	總統
੪੦੧	401年
੨੬੪	264年
ਮਿਖਾਇਲ ਗੋਰਬਾਚੇਵ	米哈伊尔·谢尔盖耶维奇·戈尔巴乔夫
੪੧੫	415年
483	483年
469	469年
462	462年
੪੫੯	459年
੪੬੬	466年
੪੦੨	402年
੩੫੦	350年
ਮਦਰ ਟਰੇਸਾ	真福加爾各答的德肋撒
੨੧੧	211年
232	232年
204	204年
੧੮੮	188年
੧੧੦	110年
111	111年
੧੩੭	137年
138	138年
੧੨੨	122年
140	140年
੧੬੭	167年
੪੩੨	432年
੨੩੧	231年
੨੩੭	237年
੨੩੯	239年
੧੩੦	130年
੨੨੬	226年
੨੦੭	207年
475	475年
੪੫੪	454年
੪੯੫	495年
206	206年
੪੬੮	468年
461	461年
੪੬੦	460年
194	194年
210	210年
225	225年
੩੧੧	311年
੨੨੦	220年
ਔਸਕਰ ਵਾਈਲਡ	奥斯卡·王尔德
੩੧੩	313年
੧੮੦	180年
੪੯੭	497年
੪੨੮	428年
੪੨੨	422年
457	457年
੪੭੮	478年
੨੫੩	253年
੪੬੭	467年
੪੫੮	458年
