আফ্রিকা	非洲
রুশ ভাষা	俄语
১৭৮২	1782年
১৮৭০	1870年
১৭৮৩	1783年
১৮৭১	1871年
ভ্লাদিমির পুতিন	弗拉基米尔·弗拉基米罗维奇·普京
আইন	法律
১৭৮৪	1784年
১৮৭২	1872年
গাণিতিক বিশ্লেষণ	数学分析
সংবিধান	宪法
১৭৮৫	1785年
১৮৭৩	1873年
১৭৮৬	1786年
১৮৭৪	1874年
১৭৮৭	1787年
১৮৭৫	1875年
১৭৮৮	1788年
১৮৭৬	1876年
আসিয়ান	东南亚国家联盟
১৭৮৯	1789年
১৮৭৭	1877年
১৭৯০	1790年
১৮৭৮	1878年
ফ্রান্সের ইতিহাস	法國歷史
স্পেনের ইতিহাস	西班牙歷史
১৮৭৯	1879年
১৭৯১	1791年
কমনওয়েলথ অফ নেশনস	英联邦
পর্তুগালের ইতিহাস	葡萄牙历史
সাখালিন দ্বীপ	库页岛
গ্রিসের ইতিহাস	希腊历史
ওপেক	石油输出国组织
আন্তর্জাতিক ন্যায়বিচার আদালত	国际法院
রুটি	麵包
আন্তর্জাতিক মুদ্রা তহবিল	國際貨幣基金組織
১৭৯২	1792年
১৮৮০	1880年
১৭৯৩	1793年
১৮৮১	1881年
জাতিসংঘ শিক্ষা, বিজ্ঞান ও সংস্কৃতি সংস্থা	联合国教科文组织
১৭৯৪	1794年
১৮৮২	1882年
মানবাধিকার সনদ	世界人权宣言
জোত্তো দি বন্দোনে	喬托·迪·邦多納
১৭৯৫	1795年
১৮৮৩	1883年
বিশ্ব স্বাস্থ্য সংস্থা	世界卫生组织
১৭৯৬	1796年
১৮৮৪	1884年
১৭৯৭	1797年
১৮৮৫	1885年
১৮৮৬	1886年
১৭৯৮	1798年
বিশ্ব বাণিজ্য সংস্থা	世界贸易组织
১৮৮৭	1887年
১৭৯৯	1799年
১৮৮৮	1888年
১৮৮৯	1889年
১৮৯০	1890年
১৮৯১	1891年
সোয়াহিলি ভাষা	斯瓦希里语
১৮৯২	1892年
১৮৯৩	1893年
১৮৯৪	1894年
১৮৯৫	1895年
১৮৯৬	1896年
১৮৯৭	1897年
১৮৯৮	1898年
চীনা ভাষা	汉语
১৮৯৯	1899年
প্রকৃতি	自然
কোষ (জীববিজ্ঞান)	细胞
রক্ত	血液
কঙ্কাল	骨骼系統
ফুসফুস	肺
ভিডিও গেম	电子游戏
শ্বাস তন্ত্র	呼吸系統
পানীয় জল	饮用水
প্রজনন তন্ত্র	生殖系统
কাসাব্লাংকা	卡萨布兰卡
রুমানীয় ভাষা	羅馬尼亞語
বুলগেরীয় ভাষা	保加利亚语
বৃষ্টি	雨
মালাগাসি ভাষা	马拉加斯语
জলবায়ু	氣候
এল নিনো	聖嬰-南方振盪現象
ভূমণ্ডলীয় উষ্ণতা বৃদ্ধি	全球变暖
ভূমিকম্প	地震
খনিজ	礦物
সত্য	真理
টেকটনিক পাত	板块构造论
আন্তর্জাতিক গণিত অলিম্পিয়াড	国际奥林匹克数学竞赛
মাউস (কম্পিউটার)	鼠标
লাপ্তেভ সাগর	拉普捷夫海
সের্গেই আইজেনস্টাইন	谢尔盖·米哈依洛维奇·爱森斯坦
আকিরা কুরোসাওয়া	黑澤明
ফ্রাঙ্কলিন ডি. রুজভেল্ট	富兰克林·德拉诺·罗斯福
ইবনে সিনা	伊本·西那
উইনস্টন চার্চিল	温斯顿·丘吉尔
আউরেলিয়ুস আউগুস্তিনুস	希波的奥古斯丁
নেলসন ম্যান্ডেলা	纳尔逊·曼德拉
ভারতীয় গ্রাঁ প্রি	印度大奖赛
মার্টিন লুথার কিং, জুনিয়র	马丁·路德·金
গিম্প	GIMP
জার্মানির অর্থনীতি	德國經濟
উৎসেচক	酶
স্পেনের অর্থনীতি	西班牙经济
প্রোটিন	蛋白质
ফ্রান্সের অর্থনীতি	法國經濟
আয়ারল্যান্ডের অর্থনীতি	愛爾蘭經濟
শিলা	岩石
আইসল্যান্ডের অর্থনীতি	冰島經濟
প্রাকৃতিক দুর্যোগ	自然灾害
অ্যামিনো অ্যাসিড	氨基酸
বন্যা	洪灾
সুনামি	海啸
আগ্নেয়গিরি	火山
মেঘ	云
ভিডিও গেইম কনসোল	電子遊戲機
যুক্তি	逻辑
১৮৯৬ গ্রীষ্মকালীন অলিম্পিক	1896年夏季奥林匹克运动会
টর্নেডো	龍捲風
ত্রিকোণমিতি	三角学
জ্যামিতি	几何学
১৯০০ গ্রীষ্মকালীন অলিম্পিক	1900年夏季奥林匹克运动会
ব্যাকরণ	语法
নিন্টেন্ডো	任天堂
তেলুগু ভাষা	泰卢固语
১৯০৪ গ্রীষ্মকালীন অলিম্পিক	1904年夏季奥林匹克运动会
বায়ুমণ্ডল	大气层
১৯০৬ গ্রীষ্মকালীন অলিম্পিক	屆間運動會
জর্জীয় ভাষা	格鲁吉亚语
১৯০৮ গ্রীষ্মকালীন অলিম্পিক	1908年夏季奥林匹克运动会
১৯১৬ গ্রীষ্মকালীন অলিম্পিক	1916年夏季奥林匹克运动会
অর্থনীতি	经济学
পুঁজি	资本
মুদ্রা	通貨
জাপানি এন	日圓
শিল্প কারখানা	产业
ভাষাবিজ্ঞান	语言学
পেচোরা নদী	伯朝拉河
অক্ষর (সিলেবল)	音节
লিখন পদ্ধতি	文字
আরবি লিপি	阿拉伯字母
চীনা লিপি	汉字
গ্রিক লিপি	希腊字母
হান্‌গেউল্	諺文
রোমান লিপি	拉丁字母
সাক্ষরতা	識字
বিষয়শ্রেণী:বুলগেরিয়া	Category:保加利亚
সাহিত্য	文學
বিষয়শ্রেণী:ফ্রান্স	Category:法国
বিষয়শ্রেণী:সঙ্গীত	Category:音乐
আরব্য রজনী	一千零一夜
বিষয়শ্রেণী:সাহিত্য	Category:文学
উপন্যাস	長篇小說
বিষয়শ্রেণী:কবিতা	Category:诗歌
বিষয়শ্রেণী:ফ্রান্সের ইতিহাস	Category:法国历史
মাঙ্গা	日本漫画
ইলিয়াড	伊利亚特
মহাভারত	摩诃婆罗多
শাহনামা	列王紀 (伊朗)
আরকানস’ নদী	阿肯色河
খেঁকশিয়াল	狐
ফেডারেল ব্যুরো অফ ইনভেস্টিগেশন	联邦调查局
হ্যারি পটার	哈利·波特
জ্যাজ	爵士乐
ক্লারিনেট	單簧管
বেহালা	小提琴
অ্যালগরিদম	算法
ঔষধ	药物
হস্তমৈথুন	自慰
মুখমৈথুন	陰莖口交
মহামতি আলেকজান্ডার	亚历山大大帝
১৯৫৬ গ্রীষ্মকালীন অলিম্পিক	1956年夏季奥林匹克运动会
মহান কন্সট্যান্টাইন	君士坦丁大帝
হ্যান্ডবল	手球
মহান কুরুশ	居鲁士二世
সমাজ	社会
শিক্ষা	教育
পরিবার	家庭
হুগো চাভেজ	烏戈·查維茲
অটো ফন বিসমার্ক	奥托·冯·俾斯麦
বিবাহ	婚姻
১৯৮০ গ্রীষ্মকালীন অলিম্পিক	1980年夏季奥林匹克运动会
গর্ভপাত	堕胎
মৃত্যুদণ্ড	死刑
১৯৮৪ গ্রীষ্মকালীন অলিম্পিক	1984年夏季奥林匹克运动会
মানবাধিকার	人权
বর্ণবাদ	种族主义
তৈমুর লং	帖木儿
দাসত্ব	奴隶制度
গৃহযুদ্ধ	内战
উমর ইবনুল খাত্তাব	欧麦尔·本·赫塔卜
১৯৮৮ গ্রীষ্মকালীন অলিম্পিক	1988年夏季奥林匹克运动会
মিলিটারি	軍事
প্রথম সুলাইমান	苏莱曼一世 (奥斯曼帝国)
ইন্টারপোল	国际刑警组织
রাশিয়ার প্রথম পিটার	彼得大帝
স্টার্নাম	胸骨
কফি	咖啡
১৯৯২ গ্রীষ্মকালীন অলিম্পিক	1992年夏季奥林匹克运动会
আমু দরিয়া	阿姆河
দুধ	乳
পর্বত	山
ডেটাবেজ	数据库
মরুভূমি	荒漠
১৯৯৬ গ্রীষ্মকালীন অলিম্পিক	1996年夏季奥林匹克运动会
দ্য বিগ ব্যাং থিওরি	生活大爆炸
২০০০ গ্রীষ্মকালীন অলিম্পিক	2000年夏季奥林匹克运动会
এট্‌সখার ডেইক্‌স্ট্রা	艾兹赫尔·戴克斯特拉
২০০৪ গ্রীষ্মকালীন অলিম্পিক	2004年夏季奥林匹克运动会
২০০৮ গ্রীষ্মকালীন অলিম্পিক	2008年夏季奥林匹克运动会
সান ইয়াত-সেন	孫中山
২০১২ গ্রীষ্মকালীন অলিম্পিক	2012年夏季奥林匹克运动会
সালাহউদ্দিন	萨拉丁
শ্রোডিঙ্গারের বিড়াল	薛定谔猫
অশোক (সম্রাট)	阿育王
আকবর	阿克巴
সিমন বলিভার	西蒙·玻利瓦尔
অ্যান্ড্রু জন‌সন	安德鲁·约翰逊
২০১৬ গ্রীষ্মকালীন অলিম্পিক	2016年夏季奥林匹克运动会
কোয়ামে নক্রুমা	夸梅·恩克鲁玛
হংকং	香港
মায়ামি	迈阿密
করাচী	卡拉奇
কোরীয় যুদ্ধ	朝鲜战争
ভূতেশ মণ্ডল	牧夫座
আরব-ইসরায়েলি সংঘাত	阿以冲突
লেগোস	拉哥斯
তক্ষক মণ্ডল	天龙座
মার্কিন যুক্তরাষ্ট্রের গৃহযুদ্ধ	南北战争
রিও দি জেনেরিও	里约热内卢
মীন (তারকামণ্ডল)	双鱼座
ব্রিটিশ সাম্রাজ্য	大英帝国
রিয়াল মাদ্রিদ ফুটবল ক্লাব	皇家马德里足球俱乐部
স্নায়ুযুদ্ধ	冷战
সেওউল	首爾
জন এফ. কেনেডি আন্তর্জাতিক বিমানবন্দর	約翰·甘迺迪國際機場
সাংহাই	上海市
অ্যাথলেতিক বিলবাও	毕尔巴鄂竞技俱乐部
লন্ডন হিথ্রো বিমানবন্দর	倫敦希斯路機場
আতলেতিকো মাদ্রিদ	马德里竞技俱乐部
ওয়াল্ট ডিজনি	華特·迪士尼
ভার্সাই চুক্তি	凡尔赛条约
আর্কিমিডিস	阿基米德
ভিয়েতনাম যুদ্ধ	越南战争
টমাস আলভা এডিসন	爱迪生
ইউক্লিড	欧几里得
আলবেনীয় ভাষা	阿尔巴尼亚语
মাইকেল ফ্যারাডে	麥可·法拉第
এনরিকো ফের্মি	恩里科·费米
ব্রিটিশ এয়ারওয়েজ	英國航空
ডোমেইন নেম সিস্টেম	域名系统
হেনরি ফোর্ড	亨利·福特
জোসেফ ফুরিয়ে	约瑟夫·傅里叶
হাইপার টেক্সট ট্রান্সফার প্রোটোকল	超文本传输协议
আর্মেনীয় ভাষা	亚美尼亚语
তথ্যগুপ্তিবিদ্যা	密码学
ইউক্রেনীয় ভাষা	乌克兰语
বাইট	字节
ট্রান্সমিশন কন্ট্রোল প্রোটোকল	传输控制协议
বিট	位元
গ্রানাডা	格拉纳达
এইচটিএমএল	HTML
ওগুস্তাঁ লুই কোশি	奧古斯丁·路易·柯西
অ্যাস্কি	ASCII
ইউনিকোড	Unicode
চিত্রক্রমেল মণ্ডল	鹿豹座
সুবর্ণাশ্রম মণ্ডল	劍魚座
কন্যা (তারকামণ্ডল)	室女座
কর্কট (তারকামণ্ডল)	巨蟹座
সিংহ (তারকামণ্ডল)	狮子座
কালপুরুষ মণ্ডল	獵戶座
বৃশ্চিক (তারকামণ্ডল)	天蝎座
ধনু (তারকামণ্ডল)	人马座
সত্যজিৎ রায়	萨蒂亚吉特·雷伊
স্টিভেন স্পিলবার্গ	斯蒂芬·斯皮尔伯格
ইউরোপীয় কমিশন	欧洲联盟委员会
সর্পধারী মণ্ডল	蛇夫座
কাউন্সিল অব ইউরোপ	欧洲委员会
সপ্তর্ষি মণ্ডল	大熊座
মিথুন (তারকামণ্ডল)	双子座
মারিয়োঁ কোতিয়ার	瑪莉安·歌迪雅
তারামণ্ডল	星座
ইয়োহানেস গুটেনবের্গ	约翰内斯·古腾堡
জেমস প্রেসকট জুল	詹姆斯·普雷斯科特·焦耳
ইয়োহানেস কেপলার	约翰内斯·开普勒
মো ইয়ান	莫言
মাক্স প্লাংক	马克斯·普朗克
সুয়েডীয় ভাষা	瑞典語
ডেনীয় ভাষা	丹麦语
নিকোলা টেসলা	尼古拉·特斯拉
আল খোয়ারিজমি	花拉子米
জেমস ওয়াট	詹姆斯·瓦特
নরওয়েজীয় ভাষা	挪威语
চাণক্য	考底利耶
বাগমতী অঞ্চল	巴格馬蒂專區
গট‌ফ্রিড লাইব‌নিৎস	戈特弗里德·莱布尼茨
নোম চম্‌স্কি	诺姆·乔姆斯基
চেক ভাষা	捷克语
স্লোভাক ভাষা	斯洛伐克语
ভেরী অঞ্চল	佩里專區
কার্ল মার্ক্স	卡尔·马克思
স্লোভেনীয় ভাষা	斯洛文尼亚语
হাঙ্গেরীয় ভাষা	匈牙利语
ভলতেয়ার	伏爾泰
এস্তোনীয় ভাষা	爱沙尼亚语
মোজেস	摩西
জ্ঞান	知识
ধলাগিরি অঞ্চল	道拉吉里专区
হিন্দুধর্ম	印度教
বেলারুশীয় ভাষা	白俄罗斯语
হোসে মুজিকা	何塞·穆希卡
জেমস ক্লার্ক ম্যাক্সওয়েল	詹姆斯·克拉克·麦克斯韦
