आफ्रिकाखण्डः	非洲
फ्लोरेन्स नैटिन्गेल	弗羅倫斯·南丁格爾
गुल्बर्गा	古尔伯加
३३१	331年
३६५	365年
३७९	379年
राबर्ट् कोख्	罗伯特·科赫
अध्यापकः	教师
रामायणम्	罗摩衍那
कलायः	花生
जानु	膝
पिएरे क्युरी	皮埃尔·居里
टी. एस. एलियट	T·S·艾略特
पर्यावरणव्यवस्था	生态系统
शीतकम्	冰箱
मिष्टालुकम्	番薯
ग्रिगोर् जान् मेण्डेल्	孟德爾
रङ्गून	仰光
हेलेन केलर	海倫·凱勒
हेनरी ८	亨利八世
सान्टा फ़े	圣菲 (新墨西哥州)
देवनागरी	天城文
कलिङ्गफलम्	西瓜
पाकशास्त्रम्	烹饪
ज्वरः	发热
अन्ताराष्ट्रिय-महिलादिनम्	国际妇女节
शेयेन्	夏延 (怀俄明州)
रिचार्ड फैनमन	理查德·費曼
आयतनम्	体积
नारङ्ग	橙色
पोल पॉट	波尔布特
पेट्रोल्	汽油
क्रिस्टियन् हुगेन्स्	克里斯蒂安·惠更斯
डे माय्ने	德梅因
वातामम्	扁桃
वेदः	吠陀
जार्डन्-नदी	约旦河
आम्लीयवर्षणम्	酸雨
कार्ल बेन्ज़	卡尔·本茨
परवेज़ मुशर्रफ़	佩尔韦兹·穆沙拉夫
पियेर्	皮尔 (南达科他州)
धान्यानि	種子
एड्वर्ड् जेन्नर्	愛德華·詹納
अण्डमाननिकोबारद्वीपसमूहः	安达曼-尼科巴群岛
वर्नर हाइजेनबर्ग	维尔纳·海森堡
नेफेरतिति	娜芙蒂蒂
एवा पेरोन	伊娃·裴隆
ललाटम्	前额
टोपेका	托皮卡
इटानगरम्	伊塔那噶
मार्टिन स्कोर्सेसे	马丁·斯科塞斯
ग्रनैट् (शिला)	花崗岩
कर्ट गोडेल	库尔特·哥德尔
आमलकम्	鵝莓
डेविड हिल्बर्ट	大卫·希尔伯特
छत्रम्	傘
कुस्तुम्बरी	芫荽
भारतस्य राष्ट्रध्वजः	印度国旗
हेण्ड्रिक लारेन्ज़	亨德里克·洛伦兹
चित्तौडगढ	奇陶尔加尔
अन्तरतारकीयमाध्यमम्	星际物质
मनमोहन सिंह	曼莫汉·辛格
रोजा पार्क्स	羅莎·帕克斯
भीलवाडामण्डलम्	皮爾瓦拉縣
अन्वर् अल्-सादात्	穆罕默德·安瓦爾·薩達特
बाडमेरमण्डलम्	巴爾梅爾縣
स्टार् वार्स्:रिवेंज् आफ़् दि सिथ्	星際大戰三部曲：西斯大帝的復仇
गोबीमरुस्थलम्	戈壁
संशोधनस्य प्रयोजनानि	研究
गूगल् अर्त्	Google地球
बर्न्हार्ड रीमन	波恩哈德·黎曼
मृत्तिका	黏土
शिम्बी	菜豆
मल्लक्रीडा	摔跤
गन्धद्रव्याणि	香辛料
सिन्धुसंस्कृतिः	印度河流域文明
हरिद्रा	薑黃
कूर्परः	肘
ओलम्पिया	奧林匹亞 (華盛頓州)
बोरोबुदुर्	婆羅浮屠
वाहनम्	载具
कृष्णः	黑天
आग्रा	阿格拉
तैलम्	油
इवान् पेत्रोविच् पाव्लोव्	巴甫洛夫
फ़्रान्ज़ फर्डिनान्ड	弗朗茨·斐迪南大公
मरीचम्	黑胡椒
माणिक्यम्	红宝石
काश्मीर	克什米尔
ओमाहा	奥马哈 (内布拉斯加州)
काकः	乌鸦
रिच्मन्ड्	里士满 (维吉尼亚州)
चण्डीगढ	昌迪加尔
मुक्ता	珍珠
स्त्री	雌性
दाक्षम्	体操
अङ्गकोरवाटम्	吴哥窟
अन्तोन् वान् ल्यूवेन् वोक्	安東尼·范·列文虎克
बैठा बैल	坐牛
भ्रूः	眉毛
माडिसन्	麦迪逊
अकशेरुकाः	无脊椎动物
सेलेम्, ओरेगन्	塞勒姆 (俄勒冈州)
लेतुवायर्क्	国歌 (立陶宛)
आलिवर क्रामवेल	奥利弗·克伦威尔
रुडोल्फ मोसबेउर	鲁道夫·穆斯堡尔
सलमान रश्दी	薩爾曼·魯西迪
हान्स कृस्टियन ओर्स्टेड	汉斯·奥斯特
पियर सिमों लाप्लास	皮埃尔-西蒙·拉普拉斯
हिन्दुदेवालयः	神庙
चार्ल्सटन्	查尔斯顿 (西弗吉尼亚州)
विद्याधर सूरजप्रसाद नैपाल	V·S·奈波爾
पोताश्रयः	港口
सुहार्तो	蘇哈托
ब्रह्मपुत्रनदः	布拉马普特拉河
विलियम वर्ड्सवर्थ	威廉·华兹华斯
विश्वनाथन् आनन्द	维斯瓦纳坦·阿南德
पनसफलम्	波罗蜜
सत्येन्द्रनाथ बोस्	薩特延德拉·納特·玻色
वरदक्षिणा	嫁妆
रक्तदुर्गम्	德里红堡
भारतीयप्रबन्धनसंस्था (IIM)	印度管理研究所
दादरा नगरहवेली च	达德拉-纳加尔哈维利
विलियम ए फोलर	威廉·福勒
कूर्मः	陸龜
अफीण	鸦片
द प्रेस्टीज्	頂尖對決
भगवद्गीता	薄伽梵歌
द टाइम्स ओफ इण्डिया	印度时报
राबर्ट् हुक्	罗伯特·胡克
तिब्बतीलिपिः	藏文字
पालीमण्डलम्	帕里縣
कपोलः	臉頰
ऐश्वर्या रै	艾西瓦娅·巴克罕
बभ्रुः	褐色
ब्राह्मणः	婆罗门
यजुर्वेदः	夜柔吠陀
पञ्जाबराज्यस्य मण्डलानि	旁遮普邦行政区划
कामसूत्रम्	欲经
कीटः	蠕虫
हासनम्	哈斯桑
जे जे थामसन	约瑟夫·汤姆孙
स्वामी विवेकानन्द	斯瓦米·維韋卡南達
मातृदिवसः	母亲节
प्रतिभा पाटिल	普拉蒂巴·帕蒂尔
३३९	339年
३४०	340年
लखनौ	勒克瑙
३५४	354年
बुलढाणामण्डलम्	布爾達納縣
३५६	356年
३५८	358年
३६१	361年
३६३	363年
३६४	364年
३६८	368年
३६९	369年
३७०	370年
३७१	371年
फलकम्:Commonscat	Template:Commons category
३७६	376年
३७७	377年
३७८	378年
३८३	383年
३८४	384年
३८८	388年
३८९	389年
३९०	390年
३९१	391年
३९२	392年
३९३	393年
३९४	394年
३९५	395年
३९६	396年
३९७	397年
३९८	398年
३९९	399年
काळिङ्गसर्पः	眼镜王蛇
पक्ष्म	眼睑
महायानम्	大乘佛教
अमृतसर	阿姆利则
शवः	屍體
२७९	279年
४४०	440年
५१७	517年
५७२	572年
कोलोराडो स्प्रिंग्स्	科罗拉多斯普林斯
मजापहित साम्राज्य	满者伯夷
नुसान्तर	马来世界
पर्यटनम्	旅游
कविः	诗人
जी-सुंग पार्क	朴智星
फलकम्:Taxobox	Template:Taxobox
स्वातन्त्र्यदिनोत्सवः (भारतम्)	印度獨立日
जेम्स फ्रान्क	詹姆斯·弗兰克
विल्हेम वेन	威廉·维恩
गुस्टाफ् हर्ज्	古斯塔夫·赫兹
आटो स्टर्न	奥托·施特恩
पाल् एर्लख्	保罗·埃尔利希
जोहन्नेस स्टार्क	约翰内斯·斯塔克
मारिया गोपर्ट-मेयर	玛丽亚·格佩特-梅耶
प्रणब मुखर्जि	普拉纳布·慕克吉
एस्. एम्. कृष्णः	索玛纳哈利·马雷阿·克里希纳
पञ्जाबीभाषा	旁遮普語
सतना	瑟德納
सरस्वती देवी	辯才天女
काव्यविभागाः	文学批评
हिक्का	打嗝
तन्तुकरणयन्त्रम्	纺车
शिवसेना	湿婆神军党
वेङ्कटरामन् रामकृष्णन्	文卡特拉曼·拉马克里希南
चन्द्रशेखर वेङ्कटरामन्	钱德拉塞卡拉·拉曼
फ्रेडरिक क्यास्पर् वुल्फ्	卡斯帕尔·沃尔弗
मौर्यसाम्राज्यम्	孔雀王朝
वुल्फगांग पौली	沃尔夫冈·泡利
जयपुरम्	齋浦爾
कानपुरम्	坎普尔
इन्दौर	印多尔
दमण	达曼-第乌
पुदुच्चेरी	本地治里
अज्मल् कसब्	穆罕默德·阿吉马·卡萨布
सूरणम्	薯蓣属
अपवर्तनम् (भौतविज्ञानम्)	折射
सुकर्णो	蘇卡諾
मेघावती सुकर्णोपुत्री	梅加瓦蒂·苏加诺普特丽
वुल्फगांग केट्टेर्ले	沃爾夫岡·克特勒
ओट्टो हेन्रिक् वार्बर्ग्	奥托·海因里希·瓦尔堡
अगस्ट् वीस्मान्	奥古斯特·魏斯曼
वाल्थेर बोथे	瓦尔特·博特
अहिंसा	非暴力
केरो हेन्रिज्	海因里希·卡罗
थियोडोर् स्छ्वान्	泰奥多尔·施旺
म्याथयास् जेकब् ष्लेडन्	馬蒂亞斯·雅各布·施萊登
जे हान्स डी जेन्सेन	約翰內斯·延森
पावेल शेरेन्कोव	帕维尔·阿列克谢耶维奇·切连科夫
जेम्स ६ (स्काटलैंड)	詹姆斯六世及一世
काशी	瓦拉納西
घृतकुमारी	庫拉索蘆薈
तिन्त्रिणी	酸豆
