આફ્રિકા	非洲
પ્રાથમિક સારવાર	急救
લિંગ ઉત્થાન	勃起
હીમોફીલિયા	血友病
કન્યા રાશી	室女宮
માઇક્રોસોફ્ટ વિઝ્યુઅલ સ્ટુડિયો	Microsoft Visual Studio
રચેલ વેઇઝ	麗素·慧絲
તુલા રાશી	天秤宮
વૃશ્ચિક રાશી	天蝎宫
તાઓ તે ચીંગ	老子 (書)
ગેમ્બિયાનો રાષ્ટ્રધ્વજ	冈比亚国旗
એન્ટિગુઆ એન્ડ બાર્બુડાનો રાષ્ટ્રધ્વજ	安提瓜和巴布达国旗
સપ્તપર્ણી	黑板樹
ભારતની ભાષાઓની સૂચી	印度语言
ગૂગલ અનુવાદ	Google翻译
ઝીપ કોડ	美國郵區編號
ચિત્રલિપિ	形意符号
અંકશાસ્ત્ર	數秘術
દાંતનું ચોકઠું	假牙
મહાશ્વેતા દેવી	玛哈丝维塔·黛维
ડૉ. ઝાકીર હુસૈન	扎基尔·侯赛因
વિકિપીડિયા:સ્ટબ	网络拓扑
સાર્ક	南亚区域合作联盟
કઠોળ	荚果
પર્યાવરણીય ઇજનેરી	环境工程
બ્રાન્ડી	白兰地
ઘાબાજરીયુ	水烛
ગુરદાસપુર જિલ્લો	古尔达斯普尔县
હાઉ આઇ મેટ યોર મધર	老爸老妈的浪漫史
હોર્નેડ ગુઆન	角冠雉
કાજોલ	卡約兒·德烏根
સુબ્રમણ્યન ચંદ્રશેખર	苏布拉马尼扬·钱德拉塞卡
કબડ્ડી	卡巴迪
પેટ બ્યુકેનન	帕特·布坎南
ચોલ સામ્રાજ્ય	朱罗王朝
મદદ:સંપાદન	Help:编辑页面
પાન્ડુ શામા	蓝矶鸫
ટાટા નેનો	塔塔纳努
લાઇફ ઓફ પાઇ	少年PI的奇幻漂流 (電影)
ઇમરાન ખાન	伊姆蘭·罕
ઉઝી	烏茲衝鋒槍
કરેણ	夾竹桃
દિવેલી	蓖麻
એમ.પી.૫	HK MP5冲锋枪
આઝાદ હિંદ ફોજ	印度国民军
રજકો	紫花苜蓿
પેન્શન	退休金
એકેએસ-૭૪યુ	AK-74突击步枪
ડૉ. સર્વપલ્લી રાધાકૃષ્ણન	萨瓦帕利·拉达克里希南
માંકડું	普通獼猴
કફોત્પાદક ગ્રંથિ	腦下垂體
ઇંગ્લીશ વીલો	白柳
સાગ	柚木
યુનિલિવર	联合利华
ચાર્લ્સ લુસિઅન બોનાપાર્ટ	夏尔·吕西安·波拿巴
રૂખડો (વનસ્પતિ)	猴面包树属
ડેઝા વુ	既視感
ગ્વાલિયર	瓜廖尔
પ્રિયંકા ચોપરા	佩麗冉卡·曹帕拉
વિદ્યા બાલન	瑋焍婭·芭蘭
નરગીસ	納吉絲 (印度演員)
દીપિકા પદુકોણે	荻皮卡·帕都恭
માધ્યમિક શાળા	中学
ડચ ઇસ્ટ ઇંડિયા કંપની	荷兰东印度公司
સિંહ રાશી	獅子宮
કેમરૂનનો રાષ્ટ્રધ્વજ	喀麦隆国旗
સંયુક્ત રાષ્ટ્રસંઘના સભ્ય દેશોની યાદી	聯合國會員國列表
બોલપેન	原子筆
રામ	羅摩
કોલમ્બિયાનો રાષ્ટ્રધ્વજ	哥伦比亚国旗
મહમદ અલી ઝીણા	穆罕默德·阿里·真納
ફુદીનો	野薄荷
લંડન આઇ (વિરાટ ચકડોળ)	倫敦眼
ઘાનાનો રાષ્ટ્રધ્વજ	加纳国旗
ચિત્તભ્રમણા	譫妄
ચીલીનો રાષ્ટ્રધ્વજ	智利國旗
પેચીયું (સ્ક્રૂ ડ્રાઇવર)	螺钉旋具
શહેરીકરણ	城市化
ગરમાળો (વૃક્ષ)	阿勃勒
ઝરેર (વનસ્પતિ)	黄香草木樨
ક્રમચય	置換
કર્ક રાશી	巨蟹宮
અલ્પ વિરામ	逗號
ઇથોપિયાનો રાષ્ટ્રધ્વજ	衣索匹亞國旗
કુંભ રાશી	寶瓶宮
સ્વચ્છતા	卫生学
સ્ટેથોસ્કોપ	聽診器
અલ્હાબાદ	安拉阿巴德
ધિરાણનું જોખમ	信用風險
કમ્બોડીયાનો રાષ્ટ્રધ્વજ	柬埔寨國旗
ક્યુબાનો રાષ્ટ્રધ્વજ	古巴國旗
સોનિયા ગાંધી	索尼娅·甘地
કોંગોનું ગણતંત્રનો રાષ્ટ્રધ્વજ	刚果共和国国旗
થ્રિસુર	德里久爾
વોલ્વો	沃尔沃集团
સિલિકૉન વૅલી	硅谷
કરિયાતું	獐牙菜属
અમીરાત સ્ટેડિયમ	酋长球场
વૃષભ રાશી	金牛宮
મકર રાશી	摩羯宮
કોંગોનું લોકતંત્રીય ગણતંત્રનો રાષ્ટ્રધ્વજ	刚果民主共和国国旗
કરી (મસાલેદાર રસાવાળી વાની)	咖哩
પીરોજ	绿松石
ચિત્રદુર્ગ જિલ્લો	奇特拉杜尔加县
કોળું	南瓜
કાર્બ્યુરેટર	化油器
ગિનિનો રાષ્ટ્રધ્વજ	几内亚国旗
ઈક્વેડોરનો રાષ્ટ્રધ્વજ	厄瓜多爾國旗
એડોબ ફ્લેશ	Adobe Flash
મધ્ય આફ્રીકી ગણતંત્રનો રાષ્ટ્રધ્વજ	中非共和國國旗
ચૅડનો રાષ્ટ્રધ્વજ	乍得國旗
પોલેંડ રાષ્ટ્રીય ફૂટબોલ ટીમ	波蘭國家足球隊
સાત ઘોર પાપ (ખ્રિસ્તી ધર્મ)	七宗罪
ઉદ્‌ગારચિહ્ન	叹号
મધ્યમા	中指
ગ્રીનહાઉસ વાયુ	温室气体
તિરુવનંતપુરમ્	锡鲁万纳塔普拉姆
ભૂસ્ખલન	山崩
બાષ્પોત્સર્જન	蒸腾作用
તાઈ ચી ચુઆન	太极拳
માયોપીઆ	近視
કોમોરોસનો રાષ્ટ્રધ્વજ	科摩罗国旗
જામીનગીરીઓ	證券
વનનાબૂદી	森林開伐
કેટ હડસન	姬·韓遜
દાર્જિલિંગ	大吉嶺
શ્રીનગર	斯利那加
યાટ	遊艇
ભાગીરથી	帕吉勒提河
કોસ્ટારિકાનો રાષ્ટ્રધ્વજ	哥斯達黎加國旗
તાલ	节奏
ફિલિપ્સ	飛利浦
વિશ્વ આર્થિક મંચ	世界經濟論壇
સ્ક્રેબલ	Scrabble
અગરતલા	阿加尔塔拉
લીમડો	印度苦楝樹
પાર્વતી	雪山神女
ફેંગ શુઇ	風水
ઈક્વેટોરીયલ ગીનીનો રાષ્ટ્રધ્વજ	赤道几内亚国旗
એરિટ્રિયાનો રાષ્ટ્રધ્વજ	厄立特里亚国旗
લસિકા ગાંઠ	淋巴結
ગયાનાનો રાષ્ટ્રધ્વજ	圭亞那國旗
સ્ટેમ્ફોર્ડ બ્રિજ (સ્ટેડિયમ)	史丹福橋球場
દાનીયેલ	但以理
ભુવનેશ્વર	布巴内什瓦尔
બ્લેકબેરી	黑莓手機
આગ્રાનો કિલ્લો	阿格拉堡
સિંહાકૃતિ	印度国徽
ફ્રેન્ચાઇઝીંગ	加盟連鎖
પૂર્ણ વિરામ	句号
કપૂરથલા જિલ્લો	卡普塔拉縣
ફિરોઝપુર જિલ્લો	费罗兹普尔县
માનસા જિલ્લો	曼薩縣
પટિયાલા જિલ્લો	帕提亞拉縣
લુધિયાણા જિલ્લો	盧迪亞納縣
ફતેહગઢ સાહિબ જિલ્લો	法特加沙希比縣
ભટિન્ડા જિલ્લો	珀丁達縣
ફરીદકોટ જિલ્લો	法利德果德縣
કટની	穆尔瓦拉
વળગાડ મુક્તિ	驅魔
સાડી	莎丽
કટિહાર	卡蒂哈尔
કૃષિવિજ્ઞાન	农学
ઘોરખોદિયું	蜜獾
સિસ્કો	思科系统
મિસ વર્લ્ડ	世界小姐
માર્વલ કૉમિક્સ	漫威漫畫
સુવર્ણ માનક	金本位
ખાદ્ય પદાર્થની સાચવણી	食品保存
અલ સાલ્વાડોરનો રાષ્ટ્રધ્વજ	薩爾瓦多國旗
યરૂશાલેમના હિબ્રુ યુનિવર્સિટી	耶路撒冷希伯來大學
સિવિલ એવિએશન રાષ્ટ્રીય શાળા	国立民用航空学院
રાંચી	蘭契
કૌંસ	括号
એગોરાફોબિયા	廣場恐懼症
વિકિપીડિયા:અવરોધન નીતિ	Wikipedia:封禁方针
વિલા પાર્ક	維拉公園球場
એચએએલ તેજસ	光輝戰鬥機
હિન્દુ-અરેબીક અંકો	阿拉伯数字
ઊંઘને લગતી બીમારી (સ્લીપ ડિસઓર્ડર)	睡眠障碍
મંગળના ચંદ્રો	火星的衛星
સરસ્વતી નદી	薩拉斯瓦蒂河
મહાવિરામ	冒号
પાતાળ કૂવા	自流含水層
ફુલરિન (Fullerene)	富勒烯
ગ્વાટેમાલાનો રાષ્ટ્રધ્વજ	危地馬拉國旗
નિંદામણનાશક	除草剂
તર્ક	理智
કબજિયાત	便秘
અહિંસા	不害
ગૂચી	古馳
કાંડા ઘડિયાળ	手表
રૂપિયો	盧比
રોજા	齋戒 (伊斯蘭教)
ખજુરાહો	克久拉霍
ઍલ્કેમિસ્ટ	炼金术士 (小说)
ફતેહપૂર સિક્રી	法泰赫普尔西克里
ડોમિનિકાનો રાષ્ટ્રધ્વજ	多米尼克國旗
ખાવાનો સોડા	碳酸氢钠
શિયાળુ મોટી ડુબકી	赤颈鸊鷉
અવકાશ સંશોધન	太空探索
રૂપેરી પેણ	斑嘴鹈鹕
વાદળ ફાટવું	暴雨
કચરાનો પ્રબંધ	污染物排放控制技术
સુવર્ણ મંદિર, અમૃતસર	哈曼迪爾寺
યુઇએફએ યૂરો ૨૦૧૨ નામાંકન	2012年欧洲足球锦标赛预选赛
આયર્ન મૅન	鋼鐵人
એના નિકોલ સ્મિથ	安娜·妮可·史密斯
ચક્ર	查克拉
મેલાટોનિન	褪黑素
એપોલો ૧૭	阿波罗17号
તમાકુ	烟草
સાંચીનો સ્તુપ	桑吉
કપૂર	樟腦
વિદેશ નીતિ	外交政策
રાણી લક્ષ્મીબાઈ	詹西女王
મેટ્રોપોલિટન એરિયા નેટવર્ક	城域网
ફીજીનો રાષ્ટ્રધ્વજ	斐濟共和國國旗
રેકી	灵气疗法
પાણીનું પ્રદૂષણ	水污染
ઓઝોન અવક્ષય	臭氧层空洞
એનટીએફએસ	NTFS
વિગતવાર વિજ્ઞાન પોલીટેકનિક ઇન્સ્ટિટ્યુટ	高等科学技术学院
મોહરમ	阿舒拉节
મોક્ષ	解脫
કો-ઍક્સિયલ કેબલ	同轴电缆
હલવો	哈爾瓦甜食
મેમરી કાર્ડ	記憶卡
વિશ્વ જળ દિન	世界水日
ૐ	唵
લાલી (લિપસ્ટીક)	口紅
સૌથી તેજસ્વી તારાઓ	恆星亮度列表
ડોમિનિકન ગણતંત્રનો રાષ્ટ્રધ્વજ	多米尼加共和国国旗
પેજ રેન્ક	PageRank
ગૉડફ્રે હારૉલ્ડ હાર્ડિ	戈弗雷·哈罗德·哈代
અજંતાની ગુફાઓ	阿旃陀石窟
રૂઢિપ્રયોગ	熟语
તર્જની	示指
કરીના કપૂર	卡琳娜·卡浦爾
સિકલસેલ એનીમિયા રોગ	鐮刀型紅血球疾病
બ્રાહ્મી લિપિ	婆罗米文
પ્રારંભિક જાહેર ભરણું (આઈપીઓ)	首次公开募股
શિયાળુ નાની ડુબકી	黑頸鸊鷉
શ્રેણી:મેના-કાબર કુટુંબ	椋鸟科
ટર્બોચાર્જર	渦輪增壓器
કાંડુ (શરીર)	腕
અર્જુન	阿朱那
વૈશ્ય	吠舍
ફિઝિયોથેરાપી	物理治療
અયોધ્યા	阿约提亚
ગંગટોક	甘托克
ધર્મશાલા	达兰萨拉
મેડમ તુસાદ સંગ્રહાલય	杜莎夫人蠟像館
વ્હાઈટ હાર્ટ લેન	白鹿徑球場
અણુ અપ્રસાર સંધિ	不扩散核武器条约
દાહોદ જિલ્લો	多哈德县
અભિષેક બચ્ચન	阿彼锡·巴克罕
વિકીમેપિયા	維基衛星地圖
કુતુબ મિનાર	顾特卜塔
વિગ્રહરેખા	连接号
મોનોરેલ	單軌鐵路
એબીઓ રક્તસમુહ પ્રણાલી	ABO血型系统
પોલિએસ્ટર	聚酯
કુદરતી સંપત્તિ	自然资源
હનુમાન	哈奴曼
ઝરખ	条纹鬣狗
પ્રીટિ ઝિન્ટા	普丽缇·泽塔
સહી (હસ્તાક્ષર)	签名
ખેતર	旱田
શિક્ષક દિન	教师节
મત્સ્યઉછેર	水產養殖
ઇલોરાની ગુફાઓ	埃洛拉石窟
હુમાયુનો મકબરો	胡馬雍陵
અષ્ટાધ્યાયી	波你尼
મતદાન	投票
મલ્ટિમીટર	万用表
શરીર વૃદ્ધી અંતઃસ્ત્રાવ	生长激素
વેબ ડિઝાઈન	网页设计
વિલવણીકરણ	海水淡化
સક્રિય કાર્બન	活性炭
ચણોઠી	雞母珠
સીતા	悉多
લક્ષ્મી મિત્તલ	拉克希米·米塔尔
